Item, Storage, Monster(s), Item Type, Ingredient Type, Crafting Value, Use, Effect, Cooking Effect, Find Checks, Find DC, Location
Coachman's Whip,bag,Phantom Hearse,Weapon (Rare),-,-,Whip,"The whip used by the Coachman of the Phantom Hearse is still filled with its owner's drive to collect souls. It has 10 ft of reach, and on a hit deals an additional 2d8 Cold damage. You can also use this weapon as a focus for your spells. Additionally, you can use a Magic Action to summon ghastly horses from the beyond, which will charge forward and trample creatures in a 40 ft long by 10 ft wide line. Creatures in the way must succeed on a DC 16 Dexterity Saving Throw or take 3d6 Cold damage and fall Prone, taking only half damage and no aditional effects on a success. Once you have used this ability you can't use it again until you have completed a long rest.",-,"Survival, Perception, Investigation，Religion, Arcana","15(x1)", "Maidenmist Cementery"
Mephit Muck ball,bottle,Mud Mephit,Consumable (Common),"Potions, Spells",13 GP,Throw,"Mud Mephits love spreading muck everywhere that will inconvenience anyone, and you kept some of it as a souvenir. You can toss the muck ball to the eyes or face of a creature up to 10 ft from you, using your Dexterity modifier and proficiency bonus. When hit, the creature has the Blinded condition, and must use its next action to clear the muck from its face.","You can make a mud cake. Yum. (DM Eyes only: Give them the Poisoned condition for 1 minute if they eat it)","Survival, Nature","13(x1),15(x2)", "Maidenmist Cementery"
Necrolisk Slime,bottle,Necrolisk,Consumable (Rare),"Potions, Weapons, Rods, Wands, Staffs, Rings, Wondrous Items",500 GP,Throw,"As a Utilize action, a character can throw the slime up to 30 feet at a Shrouded or other kinds of Undead spirits, which must succeed on a DC 15 Dexterity saving throw or be Restrained for 1 minute (escape DC 12). While Restrained in this way, the spirit takes 5 (1d10) Force damage at the start of each of its turns.","If you have proficiency with the Alchemist Kit, you can spend 1 hour refining a Shrouded Repellant, which will keep Shrouded at least 10 ft away from you for 1 minute when applied to your armor.","Survival, Nature, Arcana, Alchemist Kit, Fated Tarot Reading","13(x1),15(x2),20(x5),23(x8), Auto Success on Fated Tarot: Strength (x8)", "Maidenmist Cementery"
Necrolisk Claw,bag,Necrolisk,Consumable (Rare),"Potions,Weapons,Scrolls,Spells",500 GP,Pick,"The Necrolisk burrows underground in search of wandering spirits to devour, and its claws also help it greatly in this task. You can spend 10 minutes to craft a rudimentary pick by tying it to a sturdy stick. You can then use this pick in search of the undead. The claw has 10 uses. You can use it one of those times to attack dealing 1d10 Piercing damage and 1d6 Force damage. You can also spend one of these uses to strike the earth to disturb the spirits that might be near. If there are undead spirits with an Intelligence score lower than 10 in a 100 ft radius, they become hostile to you and pursue you, abandoning whatever other thing they were doing. If it is already hostile towards your party, it now becomes focused on you for the next 10 minutes. Alternatively, you can use it as 500 GP worth in materials towards the 2,000 GP necessary to craft a Spirit Hunting Weapon (Rare).",-,"Survival, Nature, Fated Tarot Reading","15(x1),17(x3),20(x4), Auto Success on Fated Tarot: Strength (x4)", "Maidenmist Cementery"
Spirit Hunting Knife,-,-,Weapon (Rare),-,-,-,"This knife, dagger or sickle is attuned to the spirit hunting claws of the Necrolisk. You can also use this weapon as a focus for your spells. When you attack, you deal the damage for the weapon type, and an additional 1d4 Force damage. The weapon has 3 charges. You can spend one of these charges to strike the ground and disturb nearby undead spirits with an Intelligence score lower than 10 in a 300 ft radius. They become hostile to you and pursue you, abandoning whatever other thing they were doing. If it is already hostile towards your party, it now becomes focused on you for the next 10 minutes. The weapon regains 1d3 charges on a Long Rest up to its maximum.",-,-,-,-
Necrolisk Blood,vial,Necrolisk,Consumable (Very Rare),"Potions, Scrolls, Spells, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items, Bellowing Dragoncrest Ring, Lingering Dragoncrest Ring","4000 GP","Weapon Enchant, Armor Enchant, Accessory Enchant, Drink","The blood of a Necrolisk flows with the energy of the spirits it devoured during its lifetime. You can use it in a ritual lasting 10 minutes to coat a weapon with it, which will permanently turns it into a Shroudbane Weapon (Very Rare). You can also use it in a ritual lasting 10 minutes to coat a piece of armor, shield or clothing, which permanently become a Shroud Repellent (Very Rare) equipment. You can also use it to coat a silver accessory, such as a ring or amulet, which permanently becomes a Silver Accessory of Coveting (Very Rare). As with the blood of any dragon, you can also use it as materials towards the 20,000 GP necessary to craft a Bellowing Dragoncrest Ring (Very Rare), or a Lingering Dragoncrest Ring (Very Rare). If you consume the blood it will permanently grant 30 ft of Tremorsense, and 15 ft of Blindsight, which are added to your range of Tremorsense and Blindsight if you already have it from other features, as well as the ability to once per long rest sense incorporeal entities within 200 ft of you, or you add 200 ft to whichever feature allows you to sense incorporeal creatures that you might have. ","If you have proficiency in the Alchemist Kit, you can refine the magic in the blood to make 8 vials of Necrolisk Extract","Survival, Nature, Arcana, Alchemist Kit, Fated Tarot Reading","15(x1),17(x2),20(x3), Auto Success on Fated Tarot: Strength (x3)", "Maidenmist Cementery"
Shroudbane Weapon,-,-,Weapon (Very Rare)(Requires Attunement),-,-,-,"A weapon coated with the blood of the spirit devouring Necrolisk. The weapon ignores resistances to Slashing, Piercing or Bludgeoning damage caused by a creature being incorporeal, and adds 1d6 Force damage to hits, or 3d6 Force damage for incorporeal creatures. You can also use this weapon as a focus for your spells. The weapon has a +2 bonus to attack and damage rolls. As a Magic Action, you can shoot an ephemeral slime ball to a point, which explodes in a 30 ft radius sphere. Any spirits or otherwise incorporeal creatures in the area must succeed on a DC 15 Dexterity Saving Throw or be Restrained for 1 minute (escape DC 12). While Restrained this way, the spirit takes 1d10 Force damage at the start of each of its turns.",-,-,-,-
Shroud Repellent Armor (Shield or Clothing),-,-,Equipment (Very Rare)(Requires Attunement),-,-,-,"You have coated this armor, shield or clothing with the blood of the Necrolisk. When wearing this piece of equipment and attuned to it, you gain a +1 bonus to your Armor Class, and the item grants resistance to any damage by melee attacks dealt by incorporeal creatures.",-,-,-,-
Silver Accessory of Coveting,-,-,Wondrous Item (Very Rare),-,-,-,"A silver accessory bathed in the blood of of a Necrolisk. It covets the souls of your defeated enemies. Whenever you gain Experience Points for defeating an enemy, you gain 10% more.",-,-,-,-
Necrolisk Extract,vial,-,-,-,-,"Weapon Enchant, Armor Enchant, Drink","Refined from the blood of a Necrolisk, it has similar uses to it. You can use a Bonus Action to coat a weapon with it, which ignores resistances to Slashing, Piercing or Bludgeoning damage caused by a creature being incorporeal for 24 hours. You can use a Bonus Action to coat a piece of armor, clothing or shields, which gain resistance to damage caused by melee attacks of incorporeal creatures for 24 hours. You can also drink the extract, and gain 30 ft of Tremorsense in addition to any you might have for 24 hours, as well as gain the ability to sense incorporeal entities within 200 ft (adding to any abilities you might already have) of you once during those 24 hours.",-,-,-,-
Necrolisk Tooth,bag,Necrolisk,Consumable (Very Rare),"Weapons, Wands, Rods, Staffs, Rings","5000 GP",Pick,"The Necrolisk is an underground creature that feeds on the essence of spirits, and this magical hunger is still present on its teeth. When tied to a sturdy stick you can make a rudimentary pick by crafting for 10 minutes. You can use it to attack 30 times. When attacking, it ignores any resistance or immunity to Piercing damage caused by the enemy being any sort of incorporeal, and it deals an additional 1d6 Force damage. You can spend 5 of these uses to sense spirits or incorporeal creatures in a 200 ft radius. You can also use 10 of the uses to pull incorporeal beings within 30 ft of you 5 ft toward you. Alternatively, so long as it has at least 10 uses left, you can use it as 5000 GP in material towards the 20,000 GP necessary to craft a Necrolisk Spiritbane (Very Rare) or a Soul Eater (Very Rare).",-,"Survival, Nature, Religion, Arcana, Fated Tarot Reading","15(x1),17(x2),20(x3),25(x4), Auto Success on Fated Tarot: Strength (x4)", "Maidenmist Cementery"
Necrolisk Spiritbane,-,-,Weapon (Very Rare)(Requires Attunement),-,-,-,"The Necrolisk is an underground creature that feeds on the essence of spirits, and this magical hunger is still present on its teeth and bones. You used this powerful material to make a necrotic dragon tooth weapon that is the bane of spirits. You can also use this weapon as a focus for your spells. The weapon ignores any sort of resistance or immunity to Piercing, Slashing, or Bludgeoning damage caused by the enemy being incorporeal. Depending on what weapon you made, it makes that type of damage. In addition, it deals +2d10 Force damage on any hit, or +4d10 Force damage against incorporeal enemies. As a Magic action, you can call to the hunger of the weapon to pull spirits or otherwise incorporeal enemies that are in a 40 ft radius from you, when doing so, they immediately get pulled 10 ft toward you. As part of the same action, any incorporeal enemies that are within 20 ft of you must succeed on a DC 20 Strength Saving Throw or take 8d10 Force damage. Also as a Magic Action, you can sense the presence of spirits or incorporeal creatures in a 300 ft radius. Once you use either feature you can't use that feature again until you take a Long Rest.",-,-,-,-
Necrolisk Skin,bag,Necrolisk,Ingredient (Very Rare),"Armor (Scale)","5000 GP",-,"The scales of the Necrolisk can be used to craft very resilient magical Scale armor. You can use it in place of 5000 GP in crafting Scale Armor of any kind, but also towards the 20,000 GP necessary to craft Necrolisk Scale Armor (Very Rare) ",-,"Survival, Nature, Fated Tarot Reading","17(x2),23(x4), Auto Success on Fated Tarot: Strength (x4)", "Maidenmist Cementery"
Necrolisk Scale Armor,-,-,Armor (Very Rare)(Requires Attunement),-,-,-,"This armor is made from the scales of the Necrolisk, which is highly valued. While wearing this armor, you gain a +1 bonus to your Armor Class, you have Advantage on saving throws against the breath weapons of Dragons and the Saliva of the Necrolisk, and you have Resistance to Force damage. Additionally, you can focus your senses as a Magic action to discern the distance and direction to the closest Necrolisk within 30 miles of yourself. This action can’t be used again until you take a Long Rest.",-,-,-,-
Necrolisk Vestigial Wings,bag,Necrolisk,Ingredient (Very Rare),"Wondrous Item (Cloak of the Necrolisk)","15,000 GP",-,"While wasted on the Necrolisk for their small size, they are the perfect size to make a cloak for you. You can use these as 15,000 GP worth in materials towards the 20,000 GP necessary to craft the Cloak of the Necrolisk (Very Rare)",-,"Survival, Nature, Arcana, Fated Tarot Reading","20(x1), Auto Success on Fated Tarot: Strength (x1)", "Maidenmist Cementery"
Cloak of the Necrolisk,-,-,Wondrous Item (Very Rare)(Requires Attunement),-,-,-,"While you are wearing this cloak that look like necrolisk wings and are attuned to them, you can speak and understand draconic. The cloak have 5 charges. You can spend 1 charge and use a Magic Action to grow sharp Necrolisk claws, and gain a Burrow speed equal to your ground speed for 1 hour. You can also spend 1 charge and a Bonus Action to grow the Necrolisk mole-like snout and gain the Necrolisk's Ephemeral Spit for 10 minutes, which allows you to take a Magic Action to breathe an ephemeral slime in a 60 ft long 5 ft wide line. Creatures in the line must succeed on a DC 16 Dexterity Saving Throw or take 7d6 Force damage and be Restrained until the start of your next turn, taking only half damage on a successful save. The cloak recover 1d6 charges on a Long Rest up to its maximum.",-,-,-,-
Necrolisk Bone,bag,Necrolisk,Ingredient (Very Rare),"Weapons, Wands, Rods, Staffs, Rings","16,000 GP",-,"Bone harvested from the Necrolisk is the perfect material to craft spellcrafting tools. You can use it as 8000 GP worth of materials in crafting any Wands, Rods or Staffs, or as 16,000 GP towards the 20,000 GP necessary to craft a Necrolisk Spiritbane (Very Rare) or a Soul Eater (Very Rare), which can also be a weapon of your choice.","You can cook the bones of the Necrolisk into a bone broth to make a meal for up to 4 people. When eaten, you gain Advantage to all spell attacks, enemies roll with Disadvantage for your save throw spells, and you have a +1 bonus to attack rolls and spell save DC for 24 hours.","Survival, Nature, Arcana, Fated Tarot Reading","17(x1), 20(x2), Auto Success on Fated Tarot: Strength (x2)", "Maidenmist Cementery"
Soul Eater,-,-,Weapon (Very Rare)(Requires Attunement),-,-,-,"The Necrolisk is hungry for spirits and souls, and so is this weapon made from the teeth and bones of the beast itself. You can also use this weapon as a focus for your spells, and have a +1 bonus to attack rolls and damage rolls against incorporeal creatures. The weapon also has a +1 bonus to spell attack and spell damage rolls and a +1 bonus to spell save DC. The weapon ignores any sort of resistance or immunity to Piercing, Slashing, or Bludgeoning damage caused by the enemy being incorporeal. Depending on what weapon you made, it makes that type of damage. In addition, it deals +2d6 Force damage on any hit, and +4d6 damage to incorporeal creatures, and you gain half of that damage as Temporary Hit Points. As a Magic Action, you can choose any number of creatures you can see in a 60 ft radius of you, in addition to automatically affecting incorporeal creatures you cannot see in the same range. You call the hunger of souls within your Soul Eater, and cause each of these creatures to succumb to it. Each affected creature must succeed on a DC 20 Wisdom Saving Throw or take 4d6 Force damage, or 8d6 Force damage if they are incorporeal, taking half damage on a successful save. If you bring any creature to 0 HP when using this feature, you gain 5 plus your character level Hit Points per creature killed. You can also use a Magic Action to sense the presence of spirits or incorporeal creatures in a 300 ft radius. Once you use either feature you can't use that feature again until you take a Long Rest.",-,-,-,-
Necrolisk Heart,bottle,Necrolisk,Consumable (Very Rare),"Potions, Scrolls, Spells, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items, Bellowing Dragoncrest Ring, Lingering Dragoncrest Ring, Necrolisk Amulet","10,000 GP",Eat,"You can use the magic in the Necrolisk Heart as 10,000 GP worth in materials to craft any Necrolisk related magic item, as well as any other magic item, however it is the only Necrolisk item with which you can craft the Necrolisk Amulet (Legendary) which costs 100,000 GP. As with the blood of any dragon, you can also use it as materials towards the 20,000 GP necessary to craft a Bellowing Dragoncrest Ring (Very Rare), or a Lingering Dragoncrest Ring (Very Rare). You don't really know what will happen if you eat it, but it surely won't be without consequences. You can take 8 hours studying the heart and draconic literature with a DC 18 Nature or Arcana check to know what happens if you eat the heart. You can try to remember if you had read something on the matter before by making a DC 23 Nature or Arcana check. (DM Eyes only: When consumed, the Necrolisk hunger for souls takes home in your own body. You become consumed by it and have a Draconic Curse with the following traits. You can speak and understand Draconic. You can cast Speak With Animals at will. You become blind in one eye and gain Tremorsense to 60 ft and Blindsight to 30 ft. You can sense spirits distance and direction from you for up to 100 ft. Once per long or short rest, you can use a Bonus Action to grow the Necrolisk mole-like snout and gain the Necrolisk's Ephemeral Spit for 10 minutes, which allows you to take a Magic Action to breathe an ephemeral slime in a 60 ft long 5 ft wide line. Creatures in the line must succeed on a DC 16 Dexterity Saving Throw or take 7d6 Force damage and be Restrained until the start of your next turn, taking only half damage on a successful save. Once per long rest, you can use a Magic Action to grow sharp Necrolisk claws, and gain a Burrow speed equal to your ground speed for 6 hours. Whenever you defeat a creature you can absorb its spirit to regain 5 Hit Points. You become allergic to lavender, nightshade, and lilies, and roll with Disadvantage on D20 Tests when in 5 ft of them. You can remove this effect with the Remove Curse spell cast at 6th level.)","You can cook the heart of the Necrolisk to make an esoteric meal with a special effect for up to 4 people. When eaten, you gain 10 ft Tremorsense and 5 ft Blindsight, and become allergic to lavender, nightshade, and lilies, and roll with Disadvantage on D20 Tests when in 5 ft of them. You can remove this effect with the Remove Curse spell.","Survival, Nature, Arcana, Fated Tarot Reading","20(x1), Auto Success on Fated Tarot: Strength (x1)", "Maidenmist Cementery"
Necrolisk Amulet,-,-,"Wondrous Item (Legendary)(Requires Attunement)",-,-,-,"This amulet crafted from the heart of a Necrolisk grants you its powers. While you are wearing this amulet and are attuned to it you gain the following benefits. You can speak and understand Draconic. You gain Tremorsense to 60 ft and Blindsight to 30 ft. You can use a Free Action to forgo sight to gain 120 ft Tremorsense and 60 ft Blindsight, and you can use a Free Action to reverse this. The amulet has 10 charges. You can use one charge to cast Speak with Animals without a spell slot and without Concentration. You can use a charge and a Magic Action to sense the direction and distance of spirits in a 600 ft radius. You can use one charge and a Bonus Action to grow the Necrolisk mole-like snout and gain the Necrolisk's Ephemeral Spit for 1 hour, which allows you to take a Magic Action to breathe an ephemeral slime in a 60 ft long 5 ft wide line. Creatures in the line must succeed on a DC 16 Dexterity Saving Throw or take 7d6 Force damage and be Restrained until the start of your next turn, taking only half damage on a successful save. You can use a charge and a Magic Action to grow sharp Necrolisk claws, and gain a Burrow speed equal to your ground speed for 1 hour. You can use 5 charges and a Magic Action to call the hunger of souls within the Necrolisk Amulet, and cause each of these creatures to succumb to it. Each affected creature must succeed on a DC 20 Wisdom Saving Throw or take 4d6 Force damage, or 8d6 Force damage if they are incorporeal, taking half damage on a successful save. If you bring any creature to 0 HP when using this feature, you gain 5 plus your character level Hit Points per creature killed. You can use 5 charges and a Magic Action to pull spirits or otherwise incorporeal enemies that are in a 40 ft radius from you, when doing so, they immediately get pulled 10 ft toward you. As part of the same action, any incorporeal enemies that are within 20 ft of you must succeed on a DC 20 Strength Saving Throw or take 8d10 Force damage. The amulet regains 1d12 charges on a Long Rest up to its maximum.",-,-,-,-
Bellowing Dragoncrest Ring,pouch,-,Ring (Very Rare)(Requires Attunement),-,-,-,"A ring bathed in the blood of a dragon in a ritual to grant the wearer draconic sorcery. While you are wearing this ring and are attuned to it, you gain 12 Sorcery Points, which are separate from any Sorcery Points you previously had, and cannot be transferred or used interchangeably. The Sorcery Points in this ring can only be used for the Empowered Spell Metamagic, rerolling up to 5 dice per use, and cannot be used for creating spell slots. You regain the sorcery points in this ring once you have a long rest.",-,-,-,-
Lingering Dragoncrest Ring,pouch,-,Ring (Very Rare)(Requires Attunement),-,-,-,"A ring bathed in the blood of a dragon in a ritual to grant the wearer draconic sorcery. While you are wearing this ring and are attuned to it, you gain 12 Sorcery Points, which are separate from any Sorcery Points you previously had, and cannot be transferred or used interchangeably. The Sorcery Points in this ring can only be used for the Extended Spell Metamagic, and cannot be used for creating spell slots. You regain the sorcery points in this ring once you have a long rest.",-,-,-,-
Memorial Slab Fragment,bag,The Chained Reaper,Consumable (Very Rare),"Potions, Scrolls, Spells",2000 GP,Activate,"A fragment of the memorial slab carried on the Chained Reaper's back. The slab fragment has 6 charges. You can use 2 charges to cast Ghastly Charge (6th level Necromancy), or 4 charges to cast Create Undead (6th level Necromancy). You can use 2 charges to cast Raise Dead (5th level Necromancy). You can use 1 charge to cast Speak with Dead (3rd level Necromancy). When all charges are spent the slab crumbles to dust.",-,"Survival, Perception, Investigation, Religion, Arcana, Fated Tarot Reading","20(x1), Auto Success on Fated Tarot: Judgement (x1)", "Maidenmist Cementery"
Shred of Reaper Cloak,pouch,The Chained Reaper,Consumable (Very Rare),"Scrolls, Spells",1000 GP,Activate,"A shred of the cloak worn by the Chained Reaper. It is imbued with Reaper energy. You can activate its magic to gain the effects of the Veil of the Reaper spell without Concentration.",-,"Survival, Perception, Investigation, Religion, Arcana, Fated Tarot Reading","17(x1),20(x2), Auto Success on Fated Tarot: Judgement (x2)", "Maidenmist Cementery"
Balefire Oil,flask,The Chained Reaper,Consumable (Very Rare),"Weapons, Armor, Shields","10,000 GP","Weapon Enchant, Armor Enchant, Accessory Enchant, Lantern","Oil from which the Balefire of the Chained Reaper. You can coat a weapon with it carefully for 10 minutes and set it ablaze to permanently make it a Balefire Weapon (Very Rare). You can coat a shield or armor carefully for 10 minutes and set it ablaze to make it a Baleflame Annealed Shield or Armor (Very Rare). Alternatively, you can douse a piece of jewelry or amulet with it and light it on fire to create a Balefire Accessory (Very Rare). Lastly, if used as fuel for a mundane Lantern, it permanently becomes a Balefire Lantern (Very Rare).","If you have proficiency with the Alchemist Kit, you can ","Survival, Perception, Investigation, Religion, Arcana, Fated Tarot Reading","20(x1), 25(x2), Auto Success on Fated Tarot: Judgement (x2)", "Maidenmist Cementery"
Balefire Weapon,-,-,Weapon (Very Rare)(Requires Attunement),-,-,-,"A weapon bathed in the Balefire of the Chained Reaper. It can also be used as an arcane focus for your spells. This weapon deals its regular damage, but you can choose to deal Necrotic damage when you attack with it. The weapon has a +1 bonus to attack rolls and damage rolls. It also has a +1 bonus to spell attack rolls and damage rolls as well as save DC for spells in the Necromancy school. On a hit with melee attacks or Fire damage spells, it deals an additional +2d6 Necrotic damage, and the target starts burning but takes Necrotic damage instead. The Fire damage from spells casted while attuned to this weapon can be changed to Necrotic damage instead. Once per turn, as one of your attacks with this weapon, you can send it spinning up to 15 ft of you and it returns to your hand immediately after it hits or misses.",-,-,-,-
Baleflame Annealed Shield or Armor,-,-,Armor (Very Rare)(Requires Attunement),-,-,-,"A shield or armor bathed in the Balefire of the Chained Reaper. While equipped and attuned to it, you gain a +1 bonus to your Armor Class, and you gain resistance to Fire and Necrotic damage. You can also use a Magic Action to become engulfed in protective balefire flames for 10 minutes. While protected by the flames, creatures that damage you with melee attacks take 1d6 Fire or Necrotic damage. You can only use this feature again after a Long Rest.",-,-,-,-
Balefire Accessory,-,-,Wondrous Item (Very Rare)(Requires Attunement)-,-,-,-,"An accessory bathed in the Balefire of the Chained Reaper. While equipped and attuned to it, you gain a +1 bonus to your Armor Class and a +1 bonus to all Saving Throws. You also gain resistance to Fire damage. Whenever you cast a spell that deals Fire damage, you can add a +1 bonus to attack rolls, damage rolls, or spell save DC, and it can deal Necrotic damage instead. You can cast Firebolt from the accessory. The accessory has 6 charges. You can use 1 charge to cast Hungering Blade. You can use 2 charges to cast Scorching Ray. You can use 2 charges to cast Veil of the Reaper. You can use 3 charges to cast Culling Sickle. The accessory regains 1d6 charges on a Long Rest.",-,-,-,-
Balefire Lantern,-,-,Wondrous Item (Very Rare),-,-,-,"The lantern has been changed permanently by the Balefire of the Chained Reaper. It shines Bright Light in a 50 ft radius and Dim Light for an additional 50 ft for a hooded lantern, or 70 ft cone Bright light and 70 ft Dim Light for a bullseye lantern. Incorporeal creatures illuminated by it become corporeal and visible, losing any resistances to slashing, bludgeoning and piercing damage when affected like this. As a Magic Action, you can create a beam of light from the lantern at an incorporeal creature you can see in a 60 ft range, or point in a 60 ft long 5 ft line where you suspect an invisible and incorporeal creature is. It becomes corporeal and visible and loses resistances or immunities caused by its incorporeal nature, and must succeed on a DC 16 Wisdom Saving Throw or become Restrained by the light. As long as the light is pointed at it, it must make a DC 15 Strenght Saving Throw to escape the light. On subsequent turns you can use other actions besides using the lantern this way as long as you remain pointing the lantern at it by remaining in range and facing it. If you want to keep it pointed at the target while attacking something else, it requires your Concentration to keep the lamp steady, but otherwise it does not require Concentration.",-,-,-,-
Chains of the Reaper,-,The Chained Reaper,Weapon (Very Rare)(Requires Attunement),-,-,-,"The Chains of the Reaper are imbued with Necrotic power. When you attune to the chains, they magically wrap around one or both of your arms, leaving your hand available when they aren't in use. You can use the chains as a Whip-like weapon (15 ft Reach) with one of your arms, and another weapon in your other hand without needing it to have the Light property, and choose which one you use to attack each time you attack. You can also opt to use the chains in both of your arms, although this does not grant attacks with the Bonus Action as it would with a weapon with the Light property. The chains deal 2d10 Piercing damage and have the Slow Weapon Mastery when used to attack, and can be used to Grapple with Reach (15 ft). The chains have 8 charges. You can use 1 charge and a Bonus Action to use the chains in one of your arms to the effect of the Chain of Conviction spell casted at the 3rd level, and you can upcast it by spending 1 more charge per level up to level 5. The save DC for the Chain of Conviction when casted this way is 17. When casted through the Chains of the Reaper, the target becomes Grappled if it fails the save throw for the spell. You can use 1 charge to slam a creature you have Grappled with the chains. The target must succeed on a DC 17 Strength Saving Throw or take 1d8 Bludgeoning damage and have the Stunned condition until the start of your next turn, taking half of that damage and no additional effects on a successful save. The chain regains 1d8 charges on a Long Rest. You can also use the Chains without attunement as a mundane weapon that deals 1d10 Piercing damage and has the Slow Weapon Mastery when used to attack, and can be used to Grapple, with a Reach of 15 ft, but without no magical effects.",-,"Survival, Perception, Investigation, Religion, Arcana, Fated Tarot Reading","17(x1), Auto Success on Fated Tarot: Judgement (x1)", "Maidenmist Cementery"
Cloak of the Reaper,-,The Chained Reaper,Wondrous Item (Very Rare)(Requires Attunement),-,-,-,"The cloak worn by Yorgrim is worn and shredded from the long years of guarding the Maidenmist Cementery. While you are wearing this cloak and are attuned to it, you gain a +1 bonus to your Armor Class and Saving Throws. The cloak has 8 charges. You can use 3 charges and a Bonus Action to gain the effects of the Veil of the Reaper spell without Concentration. Once you have used this feature you cannot use it again until you take a Long Rest. You can also use 3 charges and a Bonus Action to gain the effects of a Heightened Elixir of Fogwalking. Once you have used this feature you cannot use it again until you have taken a Long Rest. You can use 1 charge to cast the Veil of the Reaper normally. You can use 1 charge to cast Hungering Blade. You can use 3 charges to cast Culling Sickle. You can use 3 charges to gain a Fly speed equal to your ground speed for 1 hour. The cloak regains 1d8 charges on a Long Rest.",-,"Survival, Perception, Investigation, Religion, Arcana, Fated Tarot Reading","17(x1), Auto Success on Fated Tarot: Judgement", "Maidenmist Cementery"
Lantern Of The Chained Reaper,-,The Chained Reaper,Wondrous Item (Very Rare)(Requires Attunement),-,-,-,"The Lantern Of The Chained Reaper, from the Fated Tarot Reading, with alternate rolling to find options.",-,"Survival, Perception, Investigation, Religion, Arcana, Fated Tarot Reading","17(x1), Auto Success on Fated Tarot: Judgement (x1)", "Maidenmist Cementery"
Seer's Webs,spool,Ghost Crawler,Ingredient (Uncommon),"Potions, Scrolls, Spells, Wondrous Items (Clothing)",50 GP,-,"The silk of the Ghost Crawler allows it to trap prey such as small insects and animals in both the Material and the Ethereal Plane. You collect about 10 ft of silk on a spool, which can be used as magical material to craft clothing.",-,"Survival, Arcana","15(x1),17(x2),20(x3)", "Maidenmist Cementery"
Undelivered Message,pouch,Squabswarm,Mundane,-,-,-,"A message the squabswarm was intending to deliver got dropped in the battle. Depending on the content, you might want to deliver it instead.",-,"Perception, Investigation","15(x1)", "Walking Dovecote"
Random Arcana (DMG p.327) (Rare),-,Mage,Arcane (Rare),-,-,-,-,-,"Perception, Investigation, Arcane","17(x1)", "Swamp"
Pocket Sand,pouch,Clay Golem,Consumable (Common),"Potions, Spells",13 GP,Throw(melee),"Sand made from the clay golem is incredibly fine and can be irritating to the eyes. You can make a melee attack to throw this in the eyes of an enemy. On a hit, they become Stunned and must spend their next action cleaning their eyes.",-,-,-,-
Golem Clay,bottle,Clay Golem,Ingredient (Rare),"Potions, Spells",500 GP,-,"The clay of the golem clay can sometimes be enhanced by the magic that keeps it alive. Some people swear by its use in beauty products, although it can get quite expensive.","You can make a mud cake. Yum. (DM Eyes only: It ends the Poisoned condition when eaten, similar to how some parrots eat it as an antitoxin. However, if they eat more than 1, they gain the Poisoned condition again.)","Survival, Religion, Arcana","17(x1),20(x2)", "Swamp"
Golem Core,bag,"Clay Golem, Stone Golem",Ingredient (Very Rare),"Clay Golem, Rods, Wands, Staffs, Rings, Wondrous Items","30,000 GP or 10,000 GP",-,"The core of a golem, when removed correctly, can be used to craft another clay golem. You can use this as 30,000 GP worth of materials towards the 65,000 GP necessary to craft a Golem (of the kind you defeated). However, you need a Manual of Golems (of the kind you defeated) to do so. You can also use it as 10,000 GP needed to craft other magic items.",-,"Religion, Arcana","25(x1) (Clay Golem), 18(x1)(Stone Golem)", "Swamp, Foothill"
Hydra Blood,vial,Hydra,Consumable (Rare),"Potions (Healing, Vitality, Longevity), Ring of Regeneration",500 GP,Drink,"The blood of a hydra has incredible regenerative properties. You can use it in place of 500 GP in crafting Potions of Healing, Potions of Vitality or Potions of Longevity. Alternatively, you can drink it directly. When drank directly you regain 30 Hit Points, and for the next 10 minutes at the start of each of your turns you regain 5 Hit Points.","When used in cooking you can make food with special effects for 4 people. When eaten, you regain 8 Hit Points for 10 turns at the start of each of your turns.","Survival, Nature, Arcana, Alchemist Kit","17(x1),20(x2),23(x3)", "Swamp"
Hydra Teeth,pouch,Hydra,Ingredient (Rare),Weapons,250 GP,-,"The teeth of the hydra are not particularly special but they are still tough parts, and therefore very valuable in crafting weapons.",-,"Survival, Nature","15(x1),17(x2),20(x3)", "Swamp"
Hydra Scales,bag,Hydra,Ingredient (Rare),"Armor (Scale), Shields",1000 GP,-,"The scales of the hydra are tough and can be used as 1000 GP worth in materials to craft scale armor and shields.",-,"Survival, Perception, Investigation","17(x1),20(x2),23(x3)", "Swamp"
