Item, Storage, Monster(s), Item Type, Ingredient Type, Crafting Value, Use, Effect, Cooking Effect, Find Checks, Find DC, Location
Veil of the Weeping Widow,-,The Weeping Widow,Wondrous Item (Very Rare),-,-,-,"The Veil of the Weeping Widow, from the Fated Tarot Reading, with alternate rolling to find options.",??,"Survival, Perception, Investigation, Religion, Arcana","20(x1), Auto Success on Fated Tarot: Temperance(x1)", "Memory's Rest"
??,??,Owlbear,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Moonsong Lake"
??,??,Bulette,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Moonsong Lake"
??,??,Flying Snake,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Moonsong Lake"
??,??,Troll,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Moonsong Lake"
??,??,Purple Worm,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Moonsong Lake"
??,??,Tough,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Keeper of the Blight,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Rotweaver,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Rotting Mammoth,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Hartsblighted Owlbear,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Dryad,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Hartsblighted Death Dog,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"

??,??,Rotting Shambling Mound,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Gloomwood,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Festerhulk,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,The Beast of Blight,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Druid,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Herald of the Blight,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Awakened Tree,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Shrouded,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Mummy,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Wraith,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Phantom Hearse,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Mud Mephit,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Violet Fungi,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Necrolisk,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,The Chained Reaper,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Ghost Crawler,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Veteran,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Squabswarm,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Flesh Golem,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Pigeon Hag,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Reveler of Stories (Great Beast),??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Reveler of Stories (Hero),??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Reveler of Song (Bell),??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Reveler of Stories (Witch),??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Reveler of Song (Drone),??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Reveler of Song (Drum),??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,The Lord of Fools,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,The Crooked Man,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Wisp (Sphinx of Lore),??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Drakkenhob,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Vermin Infestation,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,The Vermintoll Abomination,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Boneflayer,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Woodwarped,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,The Wicker Man,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Hypnovulfen,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Crooked Hare,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Maidenwood,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Crooked Effigy,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,The Horned King,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,The Horned King,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
Horned King Soul,??,The Horned King,??,??,??,??,"You gain +2 to an ability score of your choice, to a maximum of 24",-,"Auto Success (1 for each party member)", "The Witchywood"
??,??,Twisted Effigy,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Blink Dog,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Pixie,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Cockatrice,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Gorgon,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Minotaur of Baphomet,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Nightmare,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,The Galloping Headsman,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Giant Crab,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Giant Toad,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Giant Octopus,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Hydra,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Plesiosaurus,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Swarm of Quippers,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Worm Swarm (swarm of venomous snake),??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Aboleth,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Chuul,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Cloaker,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Gibbering Mouther,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,The White Worm,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Undead Giant Elk,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Hartsblight Treant,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Green Hag,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Sprite,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,The Tall Man,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Behir Boneflayer,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Giant Ape,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Mammoth,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Polar Bear,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Ogre,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Remorhaz,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Roc,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Winter Wolf,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Earth Elemental,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Elemental Frost Giant,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Gargoyle,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Ice Mephit,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Elemental Stone Giant,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Stone Golem,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Xorn,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,The Wild Titan,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Night Hag,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Phase Spider,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Vrock,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,The Barrow King,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Giant Constrictor Snake,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Spirit Naga,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Water Elemental,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Barbed Devil,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Deepdreck,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,The Jinxed Leviathan,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Doppleganger,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Erinye,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Incubus,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Invisible Stalker,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Marilith,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Oni,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Succubus,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Clay Golem,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Ettercap,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Harpy,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,The Dusk Mother,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Balor,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Pit Fiend,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Bearded Devil,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Bone Devil,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Devas (Fiend),??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Glaberzu,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Hell Hound,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Hezrou,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Horned Devil,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Manticore (Fiend),??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Nalfshnee,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Planetar (Fiend),??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Rakshasa,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Adult Brass Dragon (Fiend),??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Adult Red Dragon (Fiend),??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Chimera,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Earth Elemental,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Efreet (Fiend),??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Fire Elemental (Fiend),??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Fire Giant (Fiend),??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Salamander (Fiend),??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,The Brimstone Behemoth,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
